pmid,title,abstract,year,journal,gold
30000138,Effect of doxycycline on healthy volunteers: a study of mitochondrial depolarisation,We investigated doxycycline in healthy volunteers. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2026,Parasitology,0
30000139,Effect of niclosamide on Anopheles gambiae: a study of WNT signalling inhibition,We investigated niclosamide in Anopheles gambiae. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2020,J Pharm Sci,0
30000140,Effect of moxidectin on Anopheles gambiae: a study of mass drug administration,We investigated moxidectin in Anopheles gambiae. The work focuses on mass drug administration. Results are reported with appropriate controls.,2017,PLOS ONE,0
30000141,Effect of niclosamide on HepG2 cells: a study of resistance surveillance,We investigated niclosamide in HepG2 cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2025,Br J Cancer,0
30000142,Effect of albendazole on murine scabies: a study of mass drug administration,We investigated albendazole in murine scabies. The work focuses on mass drug administration. Results are reported with appropriate controls.,2020,Br J Cancer,0
30000143,Effect of metformin on U87MG glioblastoma cells: a study of mass drug administration,We investigated metformin in U87MG glioblastoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2021,J Pharm Sci,0
30000144,Effect of niclosamide on HepG2 cells: a study of mitochondrial depolarisation,We investigated niclosamide in HepG2 cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2020,PLOS ONE,0
30000145,Effect of ivermectin on Caenorhabditis elegans: a study of mitochondrial depolarisation,We investigated ivermectin in Caenorhabditis elegans. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2025,Br J Cancer,0
30000146,Effect of doxycycline on murine scabies: a study of formulation stability,We investigated doxycycline in murine scabies. The work focuses on formulation stability. Results are reported with appropriate controls.,2026,Br J Cancer,0
30000147,Effect of moxidectin on HepG2 cells: a study of autophagic flux,We investigated moxidectin in HepG2 cells. The work focuses on autophagic flux. Results are reported with appropriate controls.,2024,Oncol Rep,1
30000148,Effect of albendazole on Onchocerca volvulus: a study of PAK1 downregulation,We investigated albendazole in Onchocerca volvulus. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2017,Br J Cancer,0
30000149,Effect of chloroquine on MCF-7 breast cancer cells: a study of mass drug administration,We investigated chloroquine in MCF-7 breast cancer cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2018,J Pharm Sci,0
30000150,Effect of albendazole on healthy volunteers: a study of mass drug administration,We investigated albendazole in healthy volunteers. The work focuses on mass drug administration. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2016,J Pharm Sci,0
30000151,Effect of chloroquine on U87MG glioblastoma cells: a study of pharmacokinetics,We investigated chloroquine in U87MG glioblastoma cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2022,Oncol Rep,0
30000152,Effect of praziquantel on MCF-7 breast cancer cells: a study of PAK1 downregulation,We investigated praziquantel in MCF-7 breast cancer cells. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2022,J Pharm Sci,0
30000153,Effect of chloroquine on Anopheles gambiae: a study of PAK1 downregulation,We investigated chloroquine in Anopheles gambiae. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2019,J Pharm Sci,0
30000154,Effect of avermectin B1 on HepG2 cells: a study of resistance surveillance,We investigated avermectin B1 in HepG2 cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2018,Br J Cancer,0
30000155,Effect of praziquantel on HepG2 cells: a study of protein kinase C activation,We investigated praziquantel in HepG2 cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2020,Br J Cancer,0
30000156,Effect of moxidectin on MCF-7 breast cancer cells: a study of WNT signalling inhibition,We investigated moxidectin in MCF-7 breast cancer cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2020,Oncol Rep,1
30000157,Effect of avermectin B1 on Onchocerca volvulus: a study of WNT signalling inhibition,We investigated avermectin B1 in Onchocerca volvulus. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2024,Parasitology,0
30000158,Effect of avermectin B1 on U87MG glioblastoma cells: a study of cell cycle arrest,We investigated avermectin B1 in U87MG glioblastoma cells. The work focuses on cell cycle arrest. Results are reported with appropriate controls.,2015,Oncol Rep,1
30000159,Effect of niclosamide on Onchocerca volvulus: a study of WNT signalling inhibition,We investigated niclosamide in Onchocerca volvulus. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2020,J Pharm Sci,0
30000160,Effect of ivermectin on Anopheles gambiae: a study of pharmacokinetics,We investigated ivermectin in Anopheles gambiae. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2020,Br J Cancer,0
30000161,Effect of avermectin B1 on murine scabies: a study of mass drug administration,We investigated avermectin B1 in murine scabies. The work focuses on mass drug administration. Results are reported with appropriate controls.,2026,Parasitology,0
30000162,Effect of selamectin on Anopheles gambiae: a study of PAK1 downregulation,We investigated selamectin in Anopheles gambiae. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2018,PLOS ONE,0
30000163,Effect of ivermectin on U87MG glioblastoma cells: a study of WNT signalling inhibition,We investigated ivermectin in U87MG glioblastoma cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2023,PLOS ONE,1
30000164,Effect of selamectin on HepG2 cells: a study of mitochondrial depolarisation,We investigated selamectin in HepG2 cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2024,PLOS ONE,1
30000165,Effect of doxycycline on healthy volunteers: a study of pharmacokinetics,We investigated doxycycline in healthy volunteers. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2023,Br J Cancer,0
30000166,Effect of albendazole on Huh7 hepatocellular carcinoma cells: a study of pharmacokinetics,We investigated albendazole in Huh7 hepatocellular carcinoma cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2017,Parasitology,0
30000167,Effect of chloroquine on healthy volunteers: a study of mitochondrial depolarisation,We investigated chloroquine in healthy volunteers. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2015,PLOS ONE,0
30000168,Effect of doxycycline on murine scabies: a study of mitochondrial depolarisation,We investigated doxycycline in murine scabies. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2022,Parasitology,0
30000169,Effect of praziquantel on MCF-7 breast cancer cells: a study of mass drug administration,We investigated praziquantel in MCF-7 breast cancer cells. The work focuses on mass drug administration. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2025,PLOS ONE,0
30000170,Effect of doxycycline on Caenorhabditis elegans: a study of PAK1 downregulation,We investigated doxycycline in Caenorhabditis elegans. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2023,J Pharm Sci,0
30000171,Effect of chloroquine on Huh7 hepatocellular carcinoma cells: a study of resistance surveillance,We investigated chloroquine in Huh7 hepatocellular carcinoma cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2015,PLOS ONE,0
30000172,Effect of avermectin B1 on Anopheles gambiae: a study of PAK1 downregulation,We investigated avermectin B1 in Anopheles gambiae. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2026,J Pharm Sci,0
30000173,Effect of selamectin on U87MG glioblastoma cells: a study of WNT signalling inhibition,We investigated selamectin in U87MG glioblastoma cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2018,Parasitology,1
30000174,Effect of albendazole on HepG2 cells: a study of mass drug administration,We investigated albendazole in HepG2 cells. The work focuses on mass drug administration. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2021,Parasitology,0
30000175,Effect of avermectin B1 on Anopheles gambiae: a study of resistance surveillance,We investigated avermectin B1 in Anopheles gambiae. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2025,Parasitology,0
30000176,Effect of moxidectin on Anopheles gambiae: a study of mitochondrial depolarisation,We investigated moxidectin in Anopheles gambiae. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2019,Parasitology,0
30000177,Effect of praziquantel on HepG2 cells: a study of pharmacokinetics,We investigated praziquantel in HepG2 cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2023,J Pharm Sci,0
30000178,Effect of niclosamide on HepG2 cells: a study of formulation stability,We investigated niclosamide in HepG2 cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2020,J Pharm Sci,0
30000179,Effect of chloroquine on MCF-7 breast cancer cells: a study of resistance surveillance,We investigated chloroquine in MCF-7 breast cancer cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2022,PLOS ONE,0
30000180,Effect of ivermectin on U87MG glioblastoma cells: a study of protein kinase C activation,We investigated ivermectin in U87MG glioblastoma cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2021,Parasitology,1
30000181,Effect of avermectin B1 on healthy volunteers: a study of pharmacokinetics,We investigated avermectin B1 in healthy volunteers. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2019,J Pharm Sci,0
30000182,Effect of chloroquine on HepG2 cells: a study of mass drug administration,We investigated chloroquine in HepG2 cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2017,Br J Cancer,0
30000183,Effect of chloroquine on Onchocerca volvulus: a study of mass drug administration,We investigated chloroquine in Onchocerca volvulus. The work focuses on mass drug administration. Results are reported with appropriate controls.,2018,PLOS ONE,0
30000184,Effect of avermectin B1 on MCF-7 breast cancer cells: a study of mass drug administration,We investigated avermectin B1 in MCF-7 breast cancer cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2018,Br J Cancer,0
30000185,Effect of doxycycline on HepG2 cells: a study of protein kinase C activation,We investigated doxycycline in HepG2 cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2025,PLOS ONE,0
30000186,Effect of selamectin on healthy volunteers: a study of resistance surveillance,We investigated selamectin in healthy volunteers. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2019,Parasitology,0
30000187,Effect of chloroquine on murine scabies: a study of mitochondrial depolarisation,We investigated chloroquine in murine scabies. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2022,Oncol Rep,0
30000188,Effect of ivermectin on murine scabies: a study of protein kinase C activation,We investigated ivermectin in murine scabies. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2019,PLOS ONE,0
30000189,Effect of avermectin B1 on MCF-7 breast cancer cells: a study of protein kinase C activation,We investigated avermectin B1 in MCF-7 breast cancer cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2023,Oncol Rep,1
30000190,Effect of niclosamide on healthy volunteers: a study of protein kinase C activation,We investigated niclosamide in healthy volunteers. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2019,Oncol Rep,0
30000191,Effect of niclosamide on Anopheles gambiae: a study of PAK1 downregulation,We investigated niclosamide in Anopheles gambiae. The work focuses on PAK1 downregulation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2015,J Pharm Sci,0
30000192,Effect of praziquantel on healthy volunteers: a study of mass drug administration,We investigated praziquantel in healthy volunteers. The work focuses on mass drug administration. Results are reported with appropriate controls.,2022,J Pharm Sci,0
30000193,Effect of selamectin on murine scabies: a study of pharmacokinetics,We investigated selamectin in murine scabies. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2020,PLOS ONE,0
30000194,Effect of praziquantel on Anopheles gambiae: a study of protein kinase C activation,We investigated praziquantel in Anopheles gambiae. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2016,J Pharm Sci,0
30000195,Effect of chloroquine on Caenorhabditis elegans: a study of resistance surveillance,We investigated chloroquine in Caenorhabditis elegans. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2019,Parasitology,0
30000196,Effect of avermectin B1 on Huh7 hepatocellular carcinoma cells: a study of formulation stability,We investigated avermectin B1 in Huh7 hepatocellular carcinoma cells. The work focuses on formulation stability. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2024,J Pharm Sci,0
30000197,Effect of niclosamide on Huh7 hepatocellular carcinoma cells: a study of mitochondrial depolarisation,We investigated niclosamide in Huh7 hepatocellular carcinoma cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2019,PLOS ONE,0
30000198,Effect of niclosamide on healthy volunteers: a study of pharmacokinetics,We investigated niclosamide in healthy volunteers. The work focuses on pharmacokinetics. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2016,J Pharm Sci,0
30000199,Effect of moxidectin on murine scabies: a study of resistance surveillance,We investigated moxidectin in murine scabies. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2017,PLOS ONE,0
30000200,Effect of ivermectin on Onchocerca volvulus: a study of pharmacokinetics,We investigated ivermectin in Onchocerca volvulus. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2023,Parasitology,0
30000201,Effect of selamectin on Onchocerca volvulus: a study of formulation stability,We investigated selamectin in Onchocerca volvulus. The work focuses on formulation stability. Results are reported with appropriate controls.,2024,J Pharm Sci,0
30000202,Effect of avermectin B1 on MCF-7 breast cancer cells: a study of mitochondrial depolarisation,We investigated avermectin B1 in MCF-7 breast cancer cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2019,J Pharm Sci,1
30000203,Effect of metformin on Onchocerca volvulus: a study of protein kinase C activation,We investigated metformin in Onchocerca volvulus. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2023,Oncol Rep,0
30000204,Effect of selamectin on Anopheles gambiae: a study of formulation stability,We investigated selamectin in Anopheles gambiae. The work focuses on formulation stability. Results are reported with appropriate controls.,2023,J Pharm Sci,0
30000205,Effect of doxycycline on Anopheles gambiae: a study of PAK1 downregulation,We investigated doxycycline in Anopheles gambiae. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2018,Oncol Rep,0
30000206,Effect of avermectin B1 on MCF-7 breast cancer cells: a study of mass drug administration,We investigated avermectin B1 in MCF-7 breast cancer cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2019,Parasitology,0
30000207,Effect of albendazole on healthy volunteers: a study of formulation stability,We investigated albendazole in healthy volunteers. The work focuses on formulation stability. Results are reported with appropriate controls.,2025,Parasitology,0
30000208,Effect of niclosamide on Anopheles gambiae: a study of mitochondrial depolarisation,We investigated niclosamide in Anopheles gambiae. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2024,Br J Cancer,0
30000209,Effect of chloroquine on MCF-7 breast cancer cells: a study of pharmacokinetics,We investigated chloroquine in MCF-7 breast cancer cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2023,Oncol Rep,0
30000210,Effect of moxidectin on Anopheles gambiae: a study of resistance surveillance,We investigated moxidectin in Anopheles gambiae. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2023,Oncol Rep,0
30000211,Effect of selamectin on HepG2 cells: a study of pharmacokinetics,We investigated selamectin in HepG2 cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2020,Br J Cancer,0
30000212,Effect of avermectin B1 on Onchocerca volvulus: a study of WNT signalling inhibition,We investigated avermectin B1 in Onchocerca volvulus. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2024,Parasitology,0
30000213,Effect of praziquantel on healthy volunteers: a study of protein kinase C activation,We investigated praziquantel in healthy volunteers. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2021,Oncol Rep,0
30000214,Effect of praziquantel on Anopheles gambiae: a study of protein kinase C activation,We investigated praziquantel in Anopheles gambiae. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2023,Parasitology,0
30000215,Effect of avermectin B1 on MCF-7 breast cancer cells: a study of WNT signalling inhibition,We investigated avermectin B1 in MCF-7 breast cancer cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2023,Br J Cancer,1
30000216,Effect of avermectin B1 on Caenorhabditis elegans: a study of mitochondrial depolarisation,We investigated avermectin B1 in Caenorhabditis elegans. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2017,Br J Cancer,0
30000217,Effect of praziquantel on Caenorhabditis elegans: a study of formulation stability,We investigated praziquantel in Caenorhabditis elegans. The work focuses on formulation stability. Results are reported with appropriate controls.,2020,J Pharm Sci,0
30000218,Effect of niclosamide on Anopheles gambiae: a study of PAK1 downregulation,We investigated niclosamide in Anopheles gambiae. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2025,Br J Cancer,0
30000219,Effect of metformin on murine scabies: a study of pharmacokinetics,We investigated metformin in murine scabies. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2026,J Pharm Sci,0
30000220,Effect of doxycycline on Huh7 hepatocellular carcinoma cells: a study of PAK1 downregulation,We investigated doxycycline in Huh7 hepatocellular carcinoma cells. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2020,J Pharm Sci,0
30000221,Effect of albendazole on MCF-7 breast cancer cells: a study of WNT signalling inhibition,We investigated albendazole in MCF-7 breast cancer cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2020,Oncol Rep,0
30000222,Effect of chloroquine on Huh7 hepatocellular carcinoma cells: a study of mass drug administration,We investigated chloroquine in Huh7 hepatocellular carcinoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2018,Oncol Rep,0
30000223,Effect of selamectin on Anopheles gambiae: a study of mass drug administration,We investigated selamectin in Anopheles gambiae. The work focuses on mass drug administration. Results are reported with appropriate controls.,2018,Oncol Rep,0
30000224,Effect of chloroquine on healthy volunteers: a study of PAK1 downregulation,We investigated chloroquine in healthy volunteers. The work focuses on PAK1 downregulation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2024,Parasitology,0
30000225,Effect of praziquantel on murine scabies: a study of WNT signalling inhibition,We investigated praziquantel in murine scabies. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2026,Oncol Rep,0
30000226,Effect of chloroquine on U87MG glioblastoma cells: a study of pharmacokinetics,We investigated chloroquine in U87MG glioblastoma cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2022,Oncol Rep,0
30000227,Effect of albendazole on healthy volunteers: a study of WNT signalling inhibition,We investigated albendazole in healthy volunteers. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2024,J Pharm Sci,0
30000228,Effect of praziquantel on healthy volunteers: a study of formulation stability,We investigated praziquantel in healthy volunteers. The work focuses on formulation stability. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2023,PLOS ONE,0
30000229,Effect of selamectin on Onchocerca volvulus: a study of formulation stability,We investigated selamectin in Onchocerca volvulus. The work focuses on formulation stability. Results are reported with appropriate controls.,2017,Br J Cancer,0
30000230,Effect of avermectin B1 on Onchocerca volvulus: a study of formulation stability,We investigated avermectin B1 in Onchocerca volvulus. The work focuses on formulation stability. Results are reported with appropriate controls.,2020,Oncol Rep,0
30000231,Effect of ivermectin on Anopheles gambiae: a study of formulation stability,We investigated ivermectin in Anopheles gambiae. The work focuses on formulation stability. Results are reported with appropriate controls.,2021,J Pharm Sci,0
30000232,Effect of praziquantel on healthy volunteers: a study of formulation stability,We investigated praziquantel in healthy volunteers. The work focuses on formulation stability. Results are reported with appropriate controls.,2024,Oncol Rep,0
30000233,Effect of chloroquine on U87MG glioblastoma cells: a study of WNT signalling inhibition,We investigated chloroquine in U87MG glioblastoma cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2024,PLOS ONE,0
30000234,Effect of selamectin on murine scabies: a study of pharmacokinetics,We investigated selamectin in murine scabies. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2020,J Pharm Sci,0
30000235,Effect of niclosamide on MCF-7 breast cancer cells: a study of pharmacokinetics,We investigated niclosamide in MCF-7 breast cancer cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2023,J Pharm Sci,0
30000236,Effect of ivermectin on Anopheles gambiae: a study of pharmacokinetics,We investigated ivermectin in Anopheles gambiae. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2022,Br J Cancer,0
30000237,Effect of albendazole on Onchocerca volvulus: a study of protein kinase C activation,We investigated albendazole in Onchocerca volvulus. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2018,PLOS ONE,0
30000238,Effect of chloroquine on HepG2 cells: a study of formulation stability,We investigated chloroquine in HepG2 cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2021,Parasitology,0
30000239,Effect of chloroquine on Onchocerca volvulus: a study of resistance surveillance,We investigated chloroquine in Onchocerca volvulus. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2020,Parasitology,0
30000240,Effect of avermectin B1 on Anopheles gambiae: a study of mitochondrial depolarisation,We investigated avermectin B1 in Anopheles gambiae. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2022,J Pharm Sci,0
30000241,Effect of selamectin on MCF-7 breast cancer cells: a study of PAK1 downregulation,We investigated selamectin in MCF-7 breast cancer cells. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2019,PLOS ONE,1
30000242,Effect of metformin on HepG2 cells: a study of formulation stability,We investigated metformin in HepG2 cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2017,Parasitology,0
30000243,Effect of chloroquine on Onchocerca volvulus: a study of pharmacokinetics,We investigated chloroquine in Onchocerca volvulus. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2023,Parasitology,0
30000244,Effect of niclosamide on Onchocerca volvulus: a study of pharmacokinetics,We investigated niclosamide in Onchocerca volvulus. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2023,Br J Cancer,0
30000245,Effect of selamectin on murine scabies: a study of PAK1 downregulation,We investigated selamectin in murine scabies. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2023,J Pharm Sci,0
30000246,Effect of niclosamide on Anopheles gambiae: a study of protein kinase C activation,We investigated niclosamide in Anopheles gambiae. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2021,J Pharm Sci,0
30000247,Effect of selamectin on Anopheles gambiae: a study of mass drug administration,We investigated selamectin in Anopheles gambiae. The work focuses on mass drug administration. Results are reported with appropriate controls.,2025,Oncol Rep,0
30000248,Effect of doxycycline on U87MG glioblastoma cells: a study of formulation stability,We investigated doxycycline in U87MG glioblastoma cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2016,PLOS ONE,0
30000249,Effect of selamectin on U87MG glioblastoma cells: a study of formulation stability,We investigated selamectin in U87MG glioblastoma cells. The work focuses on formulation stability. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2024,PLOS ONE,0
30000250,Effect of avermectin B1 on murine scabies: a study of PAK1 downregulation,We investigated avermectin B1 in murine scabies. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2022,Parasitology,0
30000251,Effect of doxycycline on healthy volunteers: a study of formulation stability,We investigated doxycycline in healthy volunteers. The work focuses on formulation stability. Results are reported with appropriate controls.,2020,Oncol Rep,0
30000252,Effect of niclosamide on Huh7 hepatocellular carcinoma cells: a study of WNT signalling inhibition,We investigated niclosamide in Huh7 hepatocellular carcinoma cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2025,J Pharm Sci,0
30000253,Effect of doxycycline on Caenorhabditis elegans: a study of WNT signalling inhibition,We investigated doxycycline in Caenorhabditis elegans. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2023,PLOS ONE,0
30000254,Effect of niclosamide on Caenorhabditis elegans: a study of formulation stability,We investigated niclosamide in Caenorhabditis elegans. The work focuses on formulation stability. Results are reported with appropriate controls.,2025,J Pharm Sci,0
30000255,Effect of chloroquine on Caenorhabditis elegans: a study of mitochondrial depolarisation,We investigated chloroquine in Caenorhabditis elegans. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2020,Br J Cancer,0
30000256,Effect of selamectin on Huh7 hepatocellular carcinoma cells: a study of resistance surveillance,We investigated selamectin in Huh7 hepatocellular carcinoma cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2017,Br J Cancer,0
30000257,Effect of niclosamide on Huh7 hepatocellular carcinoma cells: a study of protein kinase C activation,We investigated niclosamide in Huh7 hepatocellular carcinoma cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2025,PLOS ONE,0
30000258,Effect of praziquantel on Huh7 hepatocellular carcinoma cells: a study of mass drug administration,We investigated praziquantel in Huh7 hepatocellular carcinoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2019,Br J Cancer,0
30000259,Effect of ivermectin on MCF-7 breast cancer cells: a study of protein kinase C activation,We investigated ivermectin in MCF-7 breast cancer cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2026,Parasitology,1
30000260,Effect of avermectin B1 on healthy volunteers: a study of mitochondrial depolarisation,We investigated avermectin B1 in healthy volunteers. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2024,Oncol Rep,0
30000261,Effect of doxycycline on Anopheles gambiae: a study of pharmacokinetics,We investigated doxycycline in Anopheles gambiae. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2021,J Pharm Sci,0
30000262,Effect of doxycycline on MCF-7 breast cancer cells: a study of resistance surveillance,We investigated doxycycline in MCF-7 breast cancer cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2022,Oncol Rep,0
30000263,Effect of moxidectin on Onchocerca volvulus: a study of mitochondrial depolarisation,We investigated moxidectin in Onchocerca volvulus. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2016,PLOS ONE,0
30000264,Effect of metformin on murine scabies: a study of resistance surveillance,We investigated metformin in murine scabies. The work focuses on resistance surveillance. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2020,PLOS ONE,0
30000265,Effect of albendazole on Onchocerca volvulus: a study of formulation stability,We investigated albendazole in Onchocerca volvulus. The work focuses on formulation stability. Results are reported with appropriate controls.,2026,Parasitology,0
30000266,Effect of metformin on murine scabies: a study of protein kinase C activation,We investigated metformin in murine scabies. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2024,Br J Cancer,0
30000267,Effect of chloroquine on U87MG glioblastoma cells: a study of protein kinase C activation,We investigated chloroquine in U87MG glioblastoma cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2017,J Pharm Sci,0
30000268,Effect of niclosamide on healthy volunteers: a study of protein kinase C activation,We investigated niclosamide in healthy volunteers. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2020,J Pharm Sci,0
30000269,Effect of albendazole on Onchocerca volvulus: a study of mass drug administration,We investigated albendazole in Onchocerca volvulus. The work focuses on mass drug administration. Results are reported with appropriate controls.,2025,Oncol Rep,0
30000270,Effect of doxycycline on Anopheles gambiae: a study of formulation stability,We investigated doxycycline in Anopheles gambiae. The work focuses on formulation stability. Results are reported with appropriate controls.,2015,J Pharm Sci,0
30000271,Effect of praziquantel on MCF-7 breast cancer cells: a study of WNT signalling inhibition,We investigated praziquantel in MCF-7 breast cancer cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2026,J Pharm Sci,0
30000272,Effect of avermectin B1 on Onchocerca volvulus: a study of protein kinase C activation,We investigated avermectin B1 in Onchocerca volvulus. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2020,PLOS ONE,0
30000273,Effect of ivermectin on murine scabies: a study of PAK1 downregulation,We investigated ivermectin in murine scabies. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2021,PLOS ONE,0
30000274,Effect of metformin on Caenorhabditis elegans: a study of pharmacokinetics,We investigated metformin in Caenorhabditis elegans. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2024,Br J Cancer,0
